Attributes,High,High,High,Low,Low,Low,Open,Open,Open,Close,Close,Close,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,AAPL,MSFT,^GSPC,AAPL,MSFT,^GSPC,AAPL,MSFT,^GSPC,AAPL,MSFT,^GSPC,AAPL,MSFT,^GSPC,AAPL,MSFT,^GSPC
Date,,,,,,,,,,,,,,,,,,
2017-10-02,154.4499969482422,75.01000213623047,2529.22998046875,152.72000122070312,74.30000305175781,2520.39990234375,154.25999450683594,74.70999908447266,2521.199951171875,153.80999755859375,74.61000061035156,2529.1201171875,18698800.0,15304800.0,3199730000.0,149.20372009277344,72.15531921386719,2529.1201171875
2017-10-03,155.08999633789062,74.87999725341797,2535.1298828125,153.91000366210938,74.19000244140625,2528.85009765625,154.00999450683594,74.66999816894531,2530.340087890625,154.47999572753906,74.26000213623047,2534.580078125,16230300.0,12190400.0,3068850000.0,149.8536376953125,71.81684112548828,2534.580078125
2017-10-04,153.86000061035156,74.72000122070312,2540.530029296875,152.4600067138672,73.70999908447266,2531.800048828125,153.6300048828125,74.08999633789062,2533.47998046875,153.47999572753906,74.69000244140625,2537.739990234375,20163800.0,13317700.0,3017120000.0,148.8835906982422,72.23269653320312,2537.739990234375
2017-10-05,155.44000244140625,76.12000274658203,2552.510009765625,154.0500030517578,74.95999908447266,2540.02001953125,154.17999267578125,75.22000122070312,2540.860107421875,155.38999938964844,75.97000122070312,2552.070068359375,21283800.0,21195300.0,3045120000.0,150.7364044189453,73.47057342529297,2552.070068359375
2017-10-06,155.49000549316406,76.02999877929688,2549.409912109375,154.55999755859375,75.54000091552734,2543.7900390625,154.97000122070312,75.66999816894531,2547.43994140625,155.3000030517578,76.0,2549.330078125,17407600.0,13959800.0,2884570000.0,150.64906311035156,73.49958038330078,2549.330078125
2017-10-09,156.72999572753906,76.55000305175781,2551.820068359375,155.49000549316406,75.86000061035156,2541.60009765625,155.80999755859375,75.97000122070312,2551.389892578125,155.83999633789062,76.29000091552734,2544.72998046875,16262900.0,11386500.0,2483970000.0,151.1728973388672,73.7800521850586,2544.72998046875
2017-10-10,158.0,76.62999725341797,2555.22998046875,155.10000610351562,76.13999938964844,2544.860107421875,156.05999755859375,76.33000183105469,2549.989990234375,155.89999389648438,76.29000091552734,2550.639892578125,15617000.0,13944500.0,2960500000.0,151.2311248779297,73.7800521850586,2550.639892578125
2017-10-11,156.97999572753906,76.45999908447266,2555.239990234375,155.75,75.94999694824219,2547.949951171875,155.97000122070312,76.36000061035156,2550.6201171875,156.5500030517578,76.41999816894531,2555.239990234375,16905600.0,15388900.0,2976090000.0,151.8616485595703,73.90576934814453,2555.239990234375
2017-10-12,157.3699951171875,77.29000091552734,2555.330078125,155.72999572753906,76.37000274658203,2548.31005859375,156.35000610351562,76.48999786376953,2552.8798828125,156.0,77.12000274658203,2550.929931640625,16125100.0,16876500.0,3151510000.0,151.32814025878906,74.58274841308594,2550.929931640625
2017-10-13,157.27999877929688,77.87000274658203,2557.64990234375,156.41000366210938,77.29000091552734,2552.090087890625,156.72999572753906,77.58999633789062,2555.659912109375,156.99000549316406,77.48999786376953,2553.169921875,16394200.0,15335700.0,3149440000.0,152.2884979248047,74.94056701660156,2553.169921875
2017-10-16,160.0,77.80999755859375,2559.469970703125,157.64999389648438,77.3499984741211,2552.639892578125,157.89999389648438,77.41999816894531,2555.570068359375,159.8800048828125,77.6500015258789,2557.639892578125,24121500.0,12380100.0,2916020000.0,155.09193420410156,75.09530639648438,2557.639892578125
2017-10-17,160.8699951171875,77.62000274658203,2559.7099609375,159.22999572753906,77.25,2554.68994140625,159.77999877929688,77.47000122070312,2557.169921875,160.47000122070312,77.58999633789062,2559.360107421875,18997300.0,16824000.0,2889390000.0,155.6642608642578,75.03726196289062,2559.360107421875
2017-10-18,160.7100067138672,77.8499984741211,2564.110107421875,159.60000610351562,77.37000274658203,2559.669921875,160.4199981689453,77.66999816894531,2562.8701171875,159.75999450683594,77.61000061035156,2561.260009765625,16374200.0,13300700.0,2998090000.0,154.97552490234375,75.0566177368164,2561.260009765625
2017-10-19,157.0800018310547,77.93000030517578,2562.360107421875,155.02000427246094,77.3499984741211,2547.919921875,156.75,77.56999969482422,2553.389892578125,155.97999572753906,77.91000366210938,2562.10009765625,42584200.0,15092800.0,2990710000.0,151.3087158203125,75.34674835205078,2562.10009765625
2017-10-20,157.75,78.97000122070312,2575.43994140625,155.9600067138672,78.22000122070312,2567.56005859375,156.61000061035156,78.31999969482422,2567.56005859375,156.25,78.80999755859375,2575.2099609375,23974100.0,22866400.0,3384650000.0,151.5706329345703,76.2171401977539,2575.2099609375
2017-10-23,157.69000244140625,79.33999633789062,2578.2900390625,155.5,78.76000213623047,2564.330078125,156.88999938964844,78.98999786376953,2578.080078125,156.1699981689453,78.83000183105469,2564.97998046875,21984300.0,20627200.0,3211710000.0,151.49302673339844,76.23648834228516,2564.97998046875
2017-10-24,157.4199981689453,79.19999694824219,2572.179931640625,156.1999969482422,78.45999908447266,2565.580078125,156.2899932861328,78.9000015258789,2568.659912109375,157.10000610351562,78.86000061035156,2569.1298828125,17757200.0,17517200.0,3427330000.0,152.3951873779297,76.26551055908203,2569.1298828125
2017-10-25,157.5500030517578,79.0999984741211,2567.39990234375,155.27000427246094,78.01000213623047,2544.0,156.91000366210938,78.58000183105469,2566.52001953125,156.41000366210938,78.62999725341797,2557.14990234375,21207100.0,20410800.0,3874510000.0,151.72584533691406,76.04305267333984,2557.14990234375
2017-10-26,157.8300018310547,79.41999816894531,2567.070068359375,156.77999877929688,78.75,2559.800048828125,157.22999572753906,79.19999694824219,2560.080078125,157.41000366210938,78.76000213623047,2560.39990234375,17000500.0,32120700.0,3869050000.0,152.69590759277344,76.16877746582031,2560.39990234375
2017-10-27,163.60000610351562,86.19999694824219,2582.97998046875,158.6999969482422,83.61000061035156,2565.93994140625,159.2899932861328,84.37000274658203,2570.260009765625,163.0500030517578,83.80999755859375,2581.070068359375,44454200.0,71066700.0,3887110000.0,158.1669921875,81.0526351928711,2581.070068359375
2017-10-30,168.07000732421875,84.33000183105469,2580.030029296875,163.72000122070312,83.11000061035156,2568.25,163.88999938964844,83.69999694824219,2577.75,166.72000122070312,83.88999938964844,2572.830078125,44700800.0,31756700.0,3658870000.0,161.72711181640625,81.1300048828125,2572.830078125
2017-10-31,169.64999389648438,84.36000061035156,2578.2900390625,166.94000244140625,83.11000061035156,2572.14990234375,167.89999389648438,84.36000061035156,2575.989990234375,169.0399932861328,83.18000030517578,2575.260009765625,36046800.0,27086600.0,3827230000.0,163.9775848388672,80.44335174560547,2575.260009765625
2017-11-01,169.94000244140625,83.76000213623047,2588.39990234375,165.61000061035156,82.87999725341797,2574.919921875,169.8699951171875,83.68000030517578,2583.2099609375,166.88999938964844,83.18000030517578,2579.360107421875,33637800.0,22307400.0,3813180000.0,161.8920135498047,80.44335174560547,2579.360107421875
2017-11-02,168.5,84.45999908447266,2581.110107421875,165.27999877929688,83.12000274658203,2566.169921875,166.60000610351562,83.3499984741211,2579.4599609375,168.11000061035156,84.05000305175781,2579.85009765625,41393400.0,23992900.0,4048270000.0,163.07546997070312,81.28474426269531,2579.85009765625
2017-11-03,174.25999450683594,84.54000091552734,2588.419921875,171.1199951171875,83.4000015258789,2576.77001953125,174.0,84.08000183105469,2581.929931640625,172.5,84.13999938964844,2587.840087890625,59398600.0,17633500.0,3567710000.0,167.333984375,81.37178802490234,2587.840087890625
2017-11-06,174.99000549316406,84.69999694824219,2593.3798828125,171.72000122070312,84.08000183105469,2585.659912109375,172.3699951171875,84.19999694824219,2587.469970703125,174.25,84.47000122070312,2591.1298828125,35026300.0,19860900.0,3539080000.0,169.03158569335938,81.69092559814453,2591.1298828125
2017-11-07,175.25,84.9000015258789,2597.02001953125,173.60000610351562,83.93000030517578,2584.35009765625,173.91000366210938,84.7699966430664,2592.110107421875,174.80999755859375,84.2699966430664,2590.639892578125,24361500.0,17939700.0,3809650000.0,169.57479858398438,81.49749755859375,2590.639892578125
